ShowOriginal,Theatre,WeekEnd,Weekly Total Attendance,Weekly Grosses,Numberof Performances,Number of Performances,Percent Capacity,ShowCaseCorrected,Show,RerunYear,Run
All Shows,,2016-01-05,292998,28331921,281,12,0.82,All Shows,All Shows,,
All Shows,,2016-01-17,257867,26239269,235,11,0.84,All Shows,All Shows,,
All Shows,,2016-01-24,174717,15977962,178,2,0.78,All Shows,All Shows,,
All Shows,,2016-01-31,247475,23617253,231,8,0.83,All Shows,All Shows,,
All Shows,,2016-02-10,225806,22824772,174,45,0.82,All Shows,All Shows,,
All Shows,,2016-02-14,254659,25713391,217,30,0.83,All Shows,All Shows,,
All Shows,,2016-02-21,246349,23951917,205,31,0.84,All Shows,All Shows,,
All Shows,,2016-02-28,218809,20011016,205,38,0.75,All Shows,All Shows,,
All Shows,,2016-03-01,357718,43065472,306,14,0.89,All Shows,All Shows,,
All Shows,,2016-03-04,285833,29929440,229,36,0.87,All Shows,All Shows,,
All Shows,,2016-03-07,253969,26033651,232,0,0.87,All Shows,All Shows,,
All Shows,,2016-03-13,249626,23720003,220,27,0.83,All Shows,All Shows,,
All Shows,,2016-03-20,268120,26631588,221,25,0.87,All Shows,All Shows,,
All Shows,,2016-03-27,291508,31485175,232,28,0.9,All Shows,All Shows,,
All Shows,,2016-04-09,224722,23361029,199,4,0.83,All Shows,All Shows,,
All Shows,,2016-04-12,269437,29035904,245,19,0.84,All Shows,All Shows,,
All Shows,,2016-04-17,277214,27177089,238,49,0.81,All Shows,All Shows,,
All Shows,,2016-04-24,282990,27121280,247,46,0.8,All Shows,All Shows,,
All Shows,,2016-05-06,274699,27019166,279,8,0.79,All Shows,All Shows,,
All Shows,,2016-05-15,268762,26269816,278,4,0.79,All Shows,All Shows,,
All Shows,,2016-05-22,296350,28842989,279,5,0.86,All Shows,All Shows,,
All Shows,,2016-05-29,291638,28706811,285,4,0.83,All Shows,All Shows,,
All Shows,,2016-06-03,230558,20679975,209,44,0.76,All Shows,All Shows,,
All Shows,,2016-06-11,241117,25378950,230,11,0.8,All Shows,All Shows,,
All Shows,,2016-06-19,271807,28229261,271,0,0.83,All Shows,All Shows,,
All Shows,,2016-06-26,273633,28923679,254,0,0.87,All Shows,All Shows,,
All Shows,,2016-07-02,226001,21024824,215,10,0.8,All Shows,All Shows,,
All Shows,,2016-07-08,225907,24062537,201,0,0.82,All Shows,All Shows,,
All Shows,,2016-07-17,257711,27125142,235,4,0.84,All Shows,All Shows,,
All Shows,,2016-07-24,250613,26582158,223,6,0.84,All Shows,All Shows,,
All Shows,,2016-07-31,241220,25496120,211,6,0.83,All Shows,All Shows,,
All Shows,,2016-08-05,281042,27579174,287,7,0.79,All Shows,All Shows,,
All Shows,,2016-08-14,231726,24414936,208,0,0.83,All Shows,All Shows,,
All Shows,,2016-08-21,222667,23009998,207,0,0.8,All Shows,All Shows,,
All Shows,,2016-08-28,209834,21495767,196,0,0.81,All Shows,All Shows,,
All Shows,,2016-09-10,243683,25903638,181,42,0.86,All Shows,All Shows,,
All Shows,,2016-09-18,221531,22174854,169,13,0.89,All Shows,All Shows,,
All Shows,,2016-09-25,217239,22165302,170,40,0.81,All Shows,All Shows,,
All Shows,,2016-10-01,259698,26330474,238,15,0.83,All Shows,All Shows,,
All Shows,,2016-10-04,274288,26894101,232,52,0.81,All Shows,All Shows,,
All Shows,,2016-10-07,235573,24862660,231,0,0.8,All Shows,All Shows,,
All Shows,,2016-10-16,243037,25369050,191,34,0.87,All Shows,All Shows,,
All Shows,,2016-10-23,259246,27441875,209,27,0.88,All Shows,All Shows,,
All Shows,,2016-10-30,242811,25194008,219,18,0.82,All Shows,All Shows,,
All Shows,,2016-11-09,201814,20154531,176,7,0.81,All Shows,All Shows,,
All Shows,,2016-11-12,277699,31357490,249,7,0.87,All Shows,All Shows,,
All Shows,,2016-11-13,269358,28880202,230,20,0.87,All Shows,All Shows,,
All Shows,,2016-11-20,252921,26762456,232,22,0.82,All Shows,All Shows,,
All Shows,,2016-11-27,282959,35280355,246,22,0.85,All Shows,All Shows,,
All Shows,,2016-12-06,280991,28477733,276,0,0.84,All Shows,All Shows,,
All Shows,,2016-12-18,268793,30541921,248,1,0.86,All Shows,All Shows,,
All Shows,,2016-12-25,245913,30413716,225,7,0.83,All Shows,All Shows,,
All Shows,,2017-01-01,359495,49710191,282,11,0.96,All Shows,All Shows,,
All Shows,,2017-01-10,198483,23206324,184,8,0.84,All Shows,All Shows,,
All Shows,,2017-01-15,225416,25872048,191,8,0.92,All Shows,All Shows,,
All Shows,,2017-01-22,198085,21686421,174,2,0.9,All Shows,All Shows,,
All Shows,,2017-01-29,192943,21078313,168,0,0.9,All Shows,All Shows,,
All Shows,,2017-02-04,311207,34447050,208,79,0.89,All Shows,All Shows,,
All Shows,,2017-02-07,282247,31965811,255,3,0.89,All Shows,All Shows,,
All Shows,,2017-02-19,219844,25574529,167,28,0.91,All Shows,All Shows,,
All Shows,,2017-02-26,225366,25416826,171,34,0.9,All Shows,All Shows,,
All Shows,,2017-03-09,237871,27899476,223,0,0.87,All Shows,All Shows,,
All Shows,,2017-03-12,242528,29983152,210,27,0.85,All Shows,All Shows,,
All Shows,,2017-03-19,270426,30015945,188,56,0.89,All Shows,All Shows,,
All Shows,,2017-03-26,289719,32453595,196,64,0.9,All Shows,All Shows,,
All Shows,,2017-04-06,284771,32793987,262,8,0.85,All Shows,All Shows,,
All Shows,,2017-04-16,347713,41151035,247,71,0.9,All Shows,All Shows,,
All Shows,,2017-04-23,315032,35895404,259,40,0.88,All Shows,All Shows,,
All Shows,,2017-04-30,297215,32511675,280,6,0.86,All Shows,All Shows,,
All Shows,,2017-05-02,178969,19874004,159,5,0.85,All Shows,All Shows,,
All Shows,,2017-05-03,226218,23822900,180,33,0.87,All Shows,All Shows,,
All Shows,,2017-05-11,224654,27265635,193,21,0.86,All Shows,All Shows,,
All Shows,,2017-05-14,297007,33603538,285,0,0.87,All Shows,All Shows,,
All Shows,,2017-05-21,303288,34503598,277,4,0.88,All Shows,All Shows,,
All Shows,,2017-05-28,296567,34203176,262,7,0.89,All Shows,All Shows,,
All Shows,,2017-06-08,266389,31424603,232,10,0.89,All Shows,All Shows,,
All Shows,,2017-06-18,298093,34505438,263,16,0.87,All Shows,All Shows,,
All Shows,,2017-06-25,301124,35273883,260,11,0.91,All Shows,All Shows,,
All Shows,,2017-07-05,290718,32862922,286,0,0.84,All Shows,All Shows,,
All Shows,,2017-07-16,268850,31922264,242,0,0.89,All Shows,All Shows,,
All Shows,,2017-07-23,262838,31395966,233,0,0.9,All Shows,All Shows,,
All Shows,,2017-07-30,266316,31904725,234,2,0.9,All Shows,All Shows,,
All Shows,,2017-08-01,260164,29567891,216,14,0.94,All Shows,All Shows,,
All Shows,,2017-08-10,234345,30239540,192,20,0.91,All Shows,All Shows,,
All Shows,,2017-08-13,260456,30312338,229,12,0.88,All Shows,All Shows,,
All Shows,,2017-08-20,247074,28674788,232,8,0.84,All Shows,All Shows,,
All Shows,,2017-08-27,232301,26578507,228,4,0.83,All Shows,All Shows,,
All Shows,,2017-09-04,319841,35186717,233,73,0.87,All Shows,All Shows,,
All Shows,,2017-09-07,256171,29082684,238,0,0.86,All Shows,All Shows,,
All Shows,,2017-09-17,238136,26613188,216,3,0.89,All Shows,All Shows,,
All Shows,,2017-09-24,206418,23991939,200,8,0.82,All Shows,All Shows,,
All Shows,,2017-10-09,220403,23603593,216,0,0.83,All Shows,All Shows,,
All Shows,,2017-10-12,264442,35260255,236,15,0.88,All Shows,All Shows,,
All Shows,,2017-10-15,241568,29928496,195,24,0.91,All Shows,All Shows,,
All Shows,,2017-10-22,244003,30630792,197,27,0.9,All Shows,All Shows,,
All Shows,,2017-10-29,231168,28628694,194,22,0.88,All Shows,All Shows,,
All Shows,,2017-11-06,295956,34128420,261,12,0.88,All Shows,All Shows,,
All Shows,,2017-11-19,247644,31147317,202,37,0.86,All Shows,All Shows,,
All Shows,,2017-11-26,264948,39079348,212,33,0.89,All Shows,All Shows,,
All Shows,,2017-12-02,177044,19809376,164,8,0.82,All Shows,All Shows,,
All Shows,,2017-12-03,255468,27675632,189,50,0.89,All Shows,All Shows,,
All Shows,,2017-12-11,250816,32477414,193,36,0.91,All Shows,All Shows,,
All Shows,,2017-12-17,257160,34359422,245,7,0.85,All Shows,All Shows,,
All Shows,,2017-12-24,244973,35795929,230,3,0.87,All Shows,All Shows,,
All Shows,,2017-12-31,306408,50354030,259,7,0.95,All Shows,All Shows,,
All Shows,,2018-01-07,255197,32207432,222,8,0.91,All Shows,All Shows,,
All Shows,,2018-01-14,248789,32947329,224,3,0.92,All Shows,All Shows,,
All Shows,,2018-01-21,217004,27685189,206,0,0.92,All Shows,All Shows,,
All Shows,,2018-01-28,221748,27522166,204,0,0.92,All Shows,All Shows,,
All Shows,,2018-02-04,210097,24869635,203,0,0.88,All Shows,All Shows,,
All Shows,,2018-02-11,191186,22018580,191,0,0.83,All Shows,All Shows,,
All Shows,,2018-02-18,213716,26335058,191,2,0.91,All Shows,All Shows,,
All Shows,,2018-02-25,231785,27049675,191,14,0.92,All Shows,All Shows,,
All Shows,,2018-03-04,224980,26316399,188,33,0.84,All Shows,All Shows,,
All Shows,,2018-03-11,243913,29425486,180,44,0.89,All Shows,All Shows,,
All Shows,,2018-03-18,265949,31954762,176,52,0.95,All Shows,All Shows,,
All Shows,,2018-03-25,292873,35414663,188,68,0.91,All Shows,All Shows,,
All Shows,,2018-04-01,319605,42016689,211,55,0.95,All Shows,All Shows,,
All Shows,,2018-04-08,327949,42596197,212,66,0.95,All Shows,All Shows,,
