,ShowName,ShowType,Synopsis,NumberofPerformances,Years,OpeningDate,ClosingDate,Image,ImageName,ImageLink
1,The Phantom of the Opera,Musical,"Far beneath the majesty and splendour of the Paris Opera House, hides the Phantom in a shadowy existence. Shamed by his physical appearance and feared by all, the love he holds for his beautiful protégée Christine Daaé is so strong that even her heart cannot resist.",13370,32,1988-01-26,2020-06-02,https://www.broadway.org/logos/shows/phantom.jpg,PhantomoftheOpera,https://bsp-static.playbill.com/dims4/default/a4bd340/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F50%2Fa4%2Fa71805ca472a8f12c97cac39f1e7%2Fthe-phantom-of-the-opera-playbill-2019-01-01-web.jpg
2,Chicago,Musical,"Set amidst the razzle-dazzle decadence of the 1920s, Chicago is the story of Roxie Hart, a housewife and nightclub dancer who murders her on-the-side lover after he threatens to walk out on her. Desperate to avoid conviction, she dupes the public, the media and her rival cellmate, Velma Kelly, by hiring Chicago’s slickest criminal lawyer to transform her malicious crime into a barrage of sensational headlines, the likes of which might just as easily be ripped from today's tabloids.",9692,24,1996-11-14,2020-06-02,https://www.broadway.org/logos/shows/chicago.jpg,Chicago,https://bsp-static.playbill.com/dims4/default/641d7e2/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F1d%2Fa9%2F224d538645058e0877d400321174%2Fchicago-playbill-2020-01-01-web.jpg
3,The Lion King,Musical,"Lion cub prince Simba grows up in the African heartland until tragedy forces him to run away. He ultimately learns to take his rightful place in the animal kingdom, in this musical version of the Disney animated film.",9302,23,1997-11-13,2020-06-02,https://www.broadway.org/logos/shows/lionking.jpg,LionKing,https://bsp-static.playbill.com/dims4/default/25f6db1/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F06%2Ffb%2Ff6ba0a7c40ca918068a0fdc04bf7%2Fthe-lion-king-playbill-2017-11-web.jpg
4,Cats,Musical,"Based on T.S. Eliot’s book of poems, “Old Possum’s Book of Practical Cats,” Cats immerses the audience in the world of nocturnal “Jellicle Cats.” Eliot’s poems are brought to life as the felines dance and sing about their unique characteristics before gathering for the Jellicle Ball at which one among them is chosen to ascend to the supernatural “Heaviside Layer.”",7485,18,1982-10-07,2000-09-10,https://www.broadway.org/logos/shows/cats.jpg,Cats,https://bsp-static.playbill.com/dims4/default/ceb5bce/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Feb%2F51%2F2f4b13644294858c25addb5475ef%2Fcats-playbill-1982-09-23-web.jpg
5,Wicked,Musical,"Long before Dorothy arrives in Oz, there is another young woman born with emerald-green skin—smart, fiery, misunderstood and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships… until the world decides to call one ""good,"" and the other one ""wicked.""",6836,17,2003-10-30,2020-06-02,https://www.broadway.org/logos/shows/wicked.jpg,Wicked,https://bsp-static.playbill.com/dims4/default/823dbab/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Feb%2Fc2%2F90b25fdb41f7a75d2f9532ff7da4%2Fwicked-playbill-2017-05-web.jpg
6,Les Misérables,Musical,"Relentless policeman Javert pursues escaped convict Jean Valjean over decades through the tumult of revolutionary France. Valjean becomes a mayor, agrees to raise the daughter of dying prostitute and joins the fight for freedom. Based on Victor Hugo's epic novel.",6680,16,1987-03-12,2003-05-18,,LesMiserables,https://bsp-static.playbill.com/dims4/default/b0dcc9c/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F8f%2Fd7%2F3d838c6441c192023d35429c4de5%2Fles-miserables-playbill-2014-03-01-web.jpg
7,A Chorus Line,Musical,"Broadway gypsies bare their souls and put their lives ""on the line"" as they audition for an unnamed Broadway musical. The 1975 show won the Pulitzer Prize and the Tony Award for Best Musical.",6137,15,1975-07-25,1990-04-28,,ChorusLine,https://bsp-static.playbill.com/dims4/default/20f362d/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F12%2F10%2Fc5c8d60948b6938aa61d96d64172%2Fa-chorus-line-playbill-2006-09-18-web.jpg
8,Oh! Calcutta!,Revue,"Kenneth Tynan devised this musical revue, to which Samuel Beckett, John Lennon, Sam Shepard and others contributed sketches and songs of a cheekily erotic nature. The cast performs in the nude.",5959,13,1976-09-24,1989-08-06,,OhCalcutta,https://bsp-static.playbill.com/dims4/default/a9d9051/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F30%2F46%2F798082a84fed8d62769780e304a9%2Foh-calcutta-playbill-1980-02-web.jpg
9,Mamma Mia!,Musical,A young woman wants to invite the father she's never known to her wedding — only to discover that there are three possible choices — in this musical featuring songs by the Swedish pop group ABBA.,5758,14,2001-10-18,2015-09-12,https://www.broadway.org/logos/shows/mammamia.jpg,MammaMia,https://bsp-static.playbill.com/dims4/default/5101191/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F23%2Fde%2F41ceb4094b0d9b7c9e53a51f2731%2Fmamma-mia-playbill-2001-10-05-web.jpg
10,Beauty and the Beast,Musical,"A beautiful young woman takes the place of her imprisoned father in the castle of a beast, who is really a cursed prince. She teaches him to be courteous and respectful, and they fall in love, in this stage adaptation of the animated Disney film, based on the classic fairy tale.",5462,13,1994-04-18,2007-07-29,,BeautyandtheBeast,https://bsp-static.playbill.com/dims4/default/a224b2f/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F5d%2Ff0%2Ff716f88446bc8b68cb5f1c12df38%2Fbeauty-and-the-beast-playbill-1994-03-09-web.jpg
11,Rent,Musical,"Jonathan Larson's Pulitzer Prize winning rock musical retelling of the “La Bohème” story...relocated to AIDS-era East Village, New York. A penniless songwriter's love for a young woman grows even as illness begins to consume her. The poet Rodolfo is now punk rocker Roger. Tubercular Mimi is now an AIDS-infected dancer at an S&M nightclub. Painter Marcello is now aspiring filmmaker Mark Cohen, and so forth. The ending is transformed from the opera, but the theme of love striving to endure beyond all obstacles remains. Songs include “Seasons of Love,” “Without You,” “Out Tonight,” “One Song Glory,” “I'll Cover You” and “Santa Fe.”",5123,12,1996-04-29,2008-09-07,,Rent,https://bsp-static.playbill.com/dims4/default/2ed4ba4/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F7f%2Fa7%2Ff67456144b2d91251368262861cf%2Frent-playbill-1996-04-16-web.jpg
12,Jersey Boys,Musical,"The story of the legendary Four Seasons, blue-collar boys who formed a singing group and reached the heights of rock 'n' roll stardom. The musical features such Seasons' hits as ""Big Girls Don't Cry,"" ""Oh What a Night"" and ""Can't Take My Eyes Off of You.""",4642,11,2005-11-06,2017-01-15,https://www.broadway.org/logos/shows/jerseyboys.jpg,JerseyBoys,https://bsp-static.playbill.com/dims4/default/66b370f/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F95%2F35%2Fc7638e1a41f18d3ddcb48f436865%2Fjersey-boys-playbill-2017-11-22-web.jpg
13,Miss Saigon,Musical,"Set in 1975 during the final days of the of the Vietnam War, Miss Saigon is an epic love story about the relationship between Chris, an American GI and Kim, a young Vietnamese woman. They are separated when the country falls, until she returns to his life years later, in this musical inspired by the opera Madame Butterfly.",4092,10,1991-04-11,2001-01-28,,MissSaigon,https://bsp-static.playbill.com/dims4/default/df06084/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F9e%2Fee%2F4043220645c9aec72ebcaf8411b7%2Fmiss-saigon-playbill-2017-03-01-web.jpg
14,The Book of Mormon,Musical,"A pair of mismatched Mormon missionaries, one serious and dedicated and the other socially awkward yet well meaning, are sent to Uganda to convert citizens to the Mormon religion. When they arrive in Africa, the missionaries find a community grappling with poverty, AIDS and violence.",3748,9,2011-03-24,2020-06-02,https://www.broadway.org/logos/shows/mormon.jpg,BookofMormon,https://bsp-static.playbill.com/dims4/default/38f17a2/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F8e%2Fc9%2F60189ac7483b86d4f26f0d26d85e%2Fthe-book-of-mormon-playbill-2011-2-24-web.jpg
15,42nd Street,Musical,"A chorus girl from Allentown, PA, steps into the starring role to save the show when its star breaks her leg, in this stage adaptation of the classic 1933 film musical.",3486,8,1980-08-25,1989-01-08,,42ndStreet,https://bsp-static.playbill.com/dims4/default/d72c534/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F04%2Fd7%2F4e8a11594202ab03626bbb0cac90%2F42nd-street-playbill-2001-04-web.jpg
16,Grease,"Musical, Comedy","Danny and Sandy fall for each other during a carefree summer fling. But when the school year begins, Danny is torn between his feelings for good-girl Sandy and his image with the T-Birds and the Pink Ladies.",3388,8,1972-02-14,1980-04-13,,Grease,https://bsp-static.playbill.com/dims4/default/0853186/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fe9%2Ff2%2F26f1fe664dda979e789b115fe3c5%2Fgrease-playbill-1972-05-web.jpg
17,Fiddler on the Roof,Musical,"Tevye, a Jewish milkman in early 1900s Russia, sees his three eldest daughters married, each one moving further from traditional ways, and must cope with the growing anti-Jewish sentiment in his country.",3242,8,1964-09-22,1972-07-02,,FiddlerontheRoof,https://bsp-static.playbill.com/dims4/default/a8bc44e/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F38%2F50%2Ff737da9942d082e9136e7b94fe14%2Ffiddler-on-the-roof-playbill-2016-07-web.jpg
18,Life With Father,Play,,3224,8,1939-11-08,1947-07-12,,LifewithFather,https://bsp-static.playbill.com/dims4/default/20ce2cf/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fd7%2F9f%2F57c78abc44628568224c99f0cc35%2Flife-with-father-playbill-1942-01-web.jpg
19,Tobacco Road,"Play, Drama",The Lester family of Georgia sharecroppers are the subject of Jack Kirkland's adaptation of Erskine Caldwell's novel.,3182,7,1933-12-04,1941-05-31,,TobaccoRoad,https://bsp-static.playbill.com/dims4/default/1e72258/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F1a%2F8d%2Fe25779744b3f8ee8c30c5cadf63c%2FTobacco-Road-Playbill-09-42.jpg
