Type,No,Name,Address,Capacity,Year,,Latitude,Longitude,ImageLink,WebLink,OlderNames,NotableShows,,,
Broadway,1,Al Hirschfeld Theatre,"302 W. 45th St., New York, NY",1424,1924,,40.759426,-73.989278,https://s3.ibdb.com/ibdb/media/venue/venuefull_1262-1472479744.jpg,https://www.ibdb.com/theatre/al-hirschfeld-theatre-1262,Martin Beck Theatre,,,,
Broadway,2,Ambassador Theatre,"219 W. 49th St., New York, NY",1125,1921,,40.761256,-73.985001,https://s3.ibdb.com/ibdb/media/venue/venuefull_1036-1472481385.jpg,https://www.ibdb.com/theatre/ambassador-theatre-1036,New Ambassador Theatre,,,,
Broadway,3,American Airlines Theatre,"227 W. 42nd St., New York, NY",740,1918,,40.756704,-73.988092,https://s3.ibdb.com/ibdb/media/venue/venuefull_1349-1472481455.jpg,https://www.ibdb.com/theatre/american-airlines-theatre-1349,Selwyn Theatre,,,,
Broadway,4,August Wilson Theatre,"245 W. 52nd St., New York, NY",1228,1925,,40.763275,-73.984292,https://s3.ibdb.com/ibdb/media/venue/venuefull_1179-1472481562.jpg,https://www.ibdb.com/theatre/august-wilson-theatre-1179,"Virginia Theatre, American Academy of Dramatic Arts, ANTA Playhouse, WOR Mutual Radio, Guild Theatre",,,,
Broadway,5,Belasco Theatre,"111 W. 44th St., New York, NY",1018,1907,,40.756719,-73.983797,https://s3.ibdb.com/ibdb/media/venue/venuefull_1360-1472481652.jpg,https://www.ibdb.com/theatre/belasco-theatre-1360,,,,,
Broadway,6,Bernard B. Jacobs Theatre,"242 W. 45th St., New York, NY",1078,1927,,40.758602,-73.987737,https://s3.ibdb.com/ibdb/media/venue/venuefull_1346-1472481770.jpg,https://www.ibdb.com/theatre/bernard-b-jacobs-theatre-1346,"Royale Theatre, John Golden Theatre",,,,
Broadway,7,Booth Theatre,"222 W. 45th St., New York, NY",766,1913,,40.758454,-73.986995,https://s3.ibdb.com/ibdb/media/venue/venuefull_1071-1472481900.jpg,https://www.ibdb.com/theatre/booth-theatre-1071,,,,,
Broadway,8,Broadhurst Theatre,"235 W. 44th St., New York, NY",1186,1917,,40.758135,-73.987635,https://s3.ibdb.com/ibdb/media/venue/venuefull_1076-1490992665.jpg,https://www.ibdb.com/theatre/broadhurst-theatre-1076,,,,,
Broadway,9,Broadway Theatre,"1681 Broadway, New York, NY",1761,1924,,40.763195,-73.983159,https://s3.ibdb.com/ibdb/media/venue/venuefull_1496-1472482167.jpg,https://www.ibdb.com/theatre/broadway-theatre-1496,"Cine Roma, B.S. Moss's Broadway Theatre, Broadway Theatre, Earl Carroll's Broadway Theatre, Universal's Colony Theatre, B.S. Moss's Colony Theatre",,,,
Broadway,10,Brooks Atkinson Theatre,"256 W. 47th St., New York, NY",1094,1926,,40.759928,-73.98701,https://s3.ibdb.com/ibdb/media/venue/venuefull_1256-1472482275.jpg,https://www.ibdb.com/theatre/brooks-atkinson-theatre-1256,"Mansfield Theatre, Lew Fields' Mansfield Theatre",,,,
