Title,Year,Month,Number of Pages
Brave New World,2020,July 2020,259
Flow: The Psychology of Optimal Experience,2020,May 2020,303
Bad Feminist,2019,October 2019,320
Bottle of Lies: The Inside Story of the Generic Drug Boom,2020,July 2020,512
The Festival of Insignificance,2019,August 2019,115
Never Split the Difference,2020,June 2020,274
"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",2020,April 2020,444
"The Digital Doctor: Hope, Hype, and Harm at the Dawn of Medicine's Computer Age",2019,August 2019,352
Tell-Tale Brain Tales of the Unexpected from Inside Your Mind,2020,August 2020,357
Chaos: Making a New Science,2019,October 2019,352
Design as Art,2020,January 2020,224
Antifragile: Things That Gain from Disorder,2020,August 2020,472
How Music Got Free: A Story of Obsession and Invention,2019,October 2019,304
"Irony and Outrage: The Polarized Landscape of Rage, Fear, and Laughter in the United States",2020,August 2020,288
"Women, Fire, and Dangerous Things: What Categories Reveal About the Mind",2020,May 2020,632
Skin in the Game: The Hidden Asymmetries in Daily Life,2020,January 2020,272
Consciousness: Confessions of a Romantic Reductionist,2019,December 2019,184
"Streaming, Sharing, Stealing: Big Data and the Future of Entertainment",2019,August 2019,232
Spotify Teardown: Inside the Black Box of Streaming Music,2019,April 2019,288
Irony and Sarcasm,2020,April 2020,232
When You Are Engulfed in Flames,2019,September 2019,323
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",2020,August 2020,608
You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder Place,2020,August 2020,272
Motherless Brooklyn,2019,November 2019,311
The Emperor of Scent: A True Story of Perfume and Obsession,2019,October 2019,352
Beyond Culture,2019,December 2019,320
Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,2019,August 2019,315
Born a Crime: Stories From a South African Childhood,2019,July 2019,288
The Undoing Project: A Friendship That Changed Our Minds,2019,September 2019,362
Civilization and Its Discontents,2019,July 2019,127
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",2020,August 2020,391
Educated,2019,July 2019,334
Animal Farm,2020,January 2020,141
What to Listen for in Music,2020,January 2020,304
The Design of Everyday Things,2019,July 2019,240
When the Body Says No: Exploring the Stress-Disease Connection,2020,January 2020,320
Letters to a Young Poet,2019,August 2019,80
Trick Mirror: Reflections on Self-Delusion,2019,September 2019,303
The Death of Truth: Notes on Falsehood in the Age of Trump,2020,August 2020,208
The Captain and the Glory: An Entertainment,2019,November 2019,114
Cosmic Trigger I: Final Secret of the Illuminati,2020,May 2020,324
Because Internet: Understanding the New Rules of Language,2019,October 2019,327
Eleanor Oliphant is Completely Fine,2019,August 2019,336
What We See When We Read,2019,September 2019,425
Being Mortal: Medicine and What Matters in the End,2020,January 2020,282
Kybalion: A Study of the Hermetic Philosophy of Ancient Egypt and Greece,2020,February 2020,223
In Praise of Shadows,2020,August 2020,56
Watchmen,2020,March 2020,416
Cancer Clinical Trials: A Commonsense Guide to Experimental Cancer Therapies and Clinical Trials,2019,September 2019,192
The Greatest Love Story Ever Told,2019,January 2019,269
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,2020,July 2020,342
Permanent Record,2019,October 2019,339
Where We Go from Here,2019,July 2019,
The Fifth Risk,2019,August 2019,219
How to Write an Autobiographical Novel: Essays,2019,November 2019,288
Invisible Women: Data Bias in a World Designed for Men,2020,May 2020,411
How To: Absurd Scientific Advice for Common Real-World Problems,2019,September 2019,320
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",2020,August 2020,380
Kochland: The Secret History of Koch Industries and Corporate Power in America,2020,July 2020,704
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",2020,May 2020,240
War Doctor: Surgery on the Front Line,2020,May 2020,355
Failure Is an Option: An Attempted Memoir,2019,July 2019,245
An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,2019,September 2019,656
A Thousand Small Sanities: The Moral Adventure of Liberalism,2019,August 2019,272
The First Cell: And the Human Costs of Pursuing Cancer to the Last,2020,February 2020,368
This Is Not Propaganda: Adventures in the War Against Reality,2020,January 2020,236
Gender Queer,2020,August 2020,240
The Argonauts,2019,February 2019,160
Stamped from the Beginning: The Definitive History of Racist Ideas in America,2020,July 2020,592
Ruth Bader Ginsburg: In Her Own Words,2019,September 2019,206
Hooked: How to Build Habit-Forming Products,2019,April 2019,256
Stranger Than We Can Imagine: Making Sense of the Twentieth Century,2019,October 2019,356
Nothing Is True and Everything Is Possible: The Surreal Heart of the New Russia,2019,November 2019,256
Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,2020,January 2020,256
Thick: And Other Essays,2020,August 2020,248
Algorithms to Live By: The Computer Science of Human Decisions,2019,November 2019,368
Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,2020,April 2020,322
In the Dream House: A Memoir,2020,January 2020,251
"The KLF: Chaos, Magic and the Band Who Burned a Million Pounds",2019,September 2019,310
Why We're Polarized,2020,February 2020,
Sound Business,2019,October 2019,278
Blankets,2019,May 2019,592
La Petite Bijou,2019,September 2019,168
Ne Oralı Ne Buralı: Türkiye'den ABD'ye Göç Eden Kadınların Hikâyeleri,2019,October 2019,296
Yes is More: An Archicomic on Architectural Evolution,2019,October 2019,400
"Oğullar ve Rencide Ruhlar (Alper Kamu, #1)",2020,January 2020,204
Doğanın Gizli Bahçesi,2020,January 2020,199
Becoming,2019,March 2019,426
Brotopia: Breaking Up the Boys' Club of Silicon Valley,2019,October 2019,317
Calypso,2019,September 2019,273
Dear Data,2020,March 2020,289
I Have America Surrounded,2020,April 2020,265
Never Use Futura,2020,April 2020,208
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,2019,December 2019,352
This Is Going to Hurt: Secret Diaries of a Junior Doctor,2019,December 2019,256
Utopia for Realists: How We Can Build the Ideal World,2020,May 2020,262
We Should All Be Feminists,2019,September 2019,52
Welcome to the Monkey House,2020,February 2020,354
William Blake Now: Why He Matters More Than Ever,2019,October 2019,96
