Index,Zip Codes,Month of Start Date Time,B_Bronx,B_Brooklyn,B_Manhattan,B_Queens,B_Staten Island,C_Commercial,C_Documentary,C_Film,C_Music Video,C_Red Carpet/Premiere,C_Still Photography,C_Student,C_Television,C_Theater,C_WEB,T_DCAS Prep/Shoot/Wrap Permit,T_Rigging Permit,T_Shooting Permit,T_Theater Load in and Load Outs
1,00000,Feb-16,,,,2,,,,,,,,,2,,,,,2,
2,00000,Mar-16,,,,2,,,,,,,,,2,,,,,2,
3,00000,Jun-16,,,2,,,,,,,,2,,,,,,,2,
4,00000,Aug-17,,,6,,,6,,,,,,,,,,,,6,
5,00000,May-18,,,2,,,,,,,,,,2,,,,,2,
6,00000,Nov-18,,,,2,,,,,,,2,,,,,,,2,
7,00000,Feb-19,,,,2,,,,,,,,,2,,,,,2,
8,00000,Aug-19,,,1,,,,,,,,,,1,,,,,1,
9,00083,Feb-16,,,1,,,,,1,,,,,,,,,,1,
10,00083,Apr-16,,,1,,,,,,,,,,1,,,,,1,
11,00083,May-16,,,1,,,,,,,,1,,,,,,,1,
12,00083,Jun-16,,,1,,,,,,,,,,1,,,,,1,
13,00083,Jul-16,,,2,,,,,,,,1,,1,,,,,2,
14,00083,Sep-16,,,1,,,,,1,,,,,,,,,,1,
15,00083,Oct-16,,,1,,,,,,,,1,,,,,,,1,
16,00083,Nov-16,,,1,,,,,1,,,,,,,,,,1,
17,00083,Jan-17,,,1,,,,,1,,,,,,,,,,1,
18,00083,Mar-17,,,1,,,,,1,,,,,,,,,,1,
19,00083,May-17,,,2,,,,,,,,2,,,,,,,2,
20,00083,Oct-17,,,2,,,,,,,,,,2,,,,,2,
21,00083,Nov-17,,,3,,,1,,,,,,,2,,,,,3,
22,00083,Jan-18,,,1,,,,,,,,,,1,,,,,1,
23,00083,May-18,,,1,,,,,,,,1,,,,,,,1,
24,00083,Jun-18,,,1,,,,,,,,,,1,,,,,1,
25,00083,Jul-18,,,1,,,,,,1,,,,,,,,,1,
26,00083,Sep-18,,,2,,,,,,,,,,2,,,,,2,
27,00083,Oct-18,,,1,,,,,1,,,,,,,,,,1,
28,00083,Nov-18,,,1,,,1,,,,,,,,,,,,1,
29,00083,Dec-18,,,1,,,,,,,,,,1,,,,,1,
30,00083,Jun-19,,,1,,,,,,,,,,1,,,,,1,
31,00083,Jul-19,,,5,,,,,3,,,,,2,,,,,5,
32,00083,Oct-19,,,1,,,,,1,,,,,,,,,,1,
33,10000,Feb-16,,,1,,,,,1,,,,,,,,,,1,
34,10000,Apr-16,,,1,,,,,,,,,,1,,,,,1,
35,10000,Feb-17,,,1,,,1,,,,,,,,,,,,1,
36,10000,Oct-18,,,1,,,,,,,,1,,,,,,,1,
37,10001,Jan-16,,1,16,,,1,,,,,,,3,8,5,,,9,8
38,10001,Feb-16,,,34,,,,,,,,1,,15,17,1,,,17,17
39,10001,Mar-16,,,39,,,3,,5,,,,,13,18,,,,21,18
40,10001,Apr-16,,,42,,,4,,,,,3,,14,19,2,,,23,19
41,10001,May-16,,,24,,,1,,6,,,3,,6,8,,,,16,8
42,10001,Jun-16,1,,24,,,3,,1,,,5,,4,12,,,,13,12
43,10001,Jul-16,,1,41,1,,8,,3,,,2,,14,15,1,,,28,15
44,10001,Aug-16,,2,26,,,4,,1,,,,,12,6,5,,,22,6
