﻿Index,Month,Borough,Category,Event Type,Events
1,2016-01,Bronx,Film,Shooting Permit,2
2,2016-01,Bronx,Still Photography,Shooting Permit,5
3,2016-01,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,1
4,2016-01,Bronx,Television,Shooting Permit,10
5,2016-01,Brooklyn,Commercial,Shooting Permit,15
6,2016-01,Brooklyn,Film,Shooting Permit,27
7,2016-01,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,2
8,2016-01,Brooklyn,Television,Shooting Permit,131
9,2016-01,Brooklyn,Theater,Theater Load in and Load Outs,7
10,2016-01,Brooklyn,WEB,Rigging Permit,2
11,2016-01,Brooklyn,WEB,Shooting Permit,8
12,2016-01,Manhattan,Commercial,Shooting Permit,45
13,2016-01,Manhattan,Documentary,Shooting Permit,2
14,2016-01,Manhattan,Film,Shooting Permit,55
15,2016-01,Manhattan,Still Photography,Shooting Permit,9
16,2016-01,Manhattan,Student,Rigging Permit,1
17,2016-01,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,5
18,2016-01,Manhattan,Television,Shooting Permit,157
19,2016-01,Manhattan,Television,Theater Load in and Load Outs,1
20,2016-01,Manhattan,Theater,Shooting Permit,3
21,2016-01,Manhattan,Theater,Theater Load in and Load Outs,46
22,2016-01,Manhattan,WEB,Shooting Permit,12
23,2016-01,Queens,Commercial,Shooting Permit,11
24,2016-01,Queens,Film,Shooting Permit,10
25,2016-01,Queens,Still Photography,Shooting Permit,3
26,2016-01,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
27,2016-01,Queens,Television,Shooting Permit,145
28,2016-01,Queens,WEB,Shooting Permit,3
29,2016-01,Staten Island,Television,Shooting Permit,2
30,2016-02,Bronx,Film,DCAS Prep/Shoot/Wrap Permit,1
31,2016-02,Bronx,Television,Shooting Permit,15
32,2016-02,Brooklyn,Commercial,Shooting Permit,4
33,2016-02,Brooklyn,Film,Shooting Permit,22
34,2016-02,Brooklyn,Music Video,Shooting Permit,1
35,2016-02,Brooklyn,Still Photography,Shooting Permit,8
36,2016-02,Brooklyn,Student,Shooting Permit,2
37,2016-02,Brooklyn,Television,Rigging Permit,3
38,2016-02,Brooklyn,Television,Shooting Permit,162
39,2016-02,Brooklyn,Theater,Theater Load in and Load Outs,11
40,2016-02,Brooklyn,WEB,Shooting Permit,12
41,2016-02,Manhattan,Commercial,Shooting Permit,26
42,2016-02,Manhattan,Film,Rigging Permit,1
43,2016-02,Manhattan,Film,Shooting Permit,41
44,2016-02,Manhattan,Still Photography,Shooting Permit,27
45,2016-02,Manhattan,Student,Rigging Permit,3
46,2016-02,Manhattan,Student,Shooting Permit,2
47,2016-02,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,8
48,2016-02,Manhattan,Television,Rigging Permit,1
49,2016-02,Manhattan,Television,Shooting Permit,183
