﻿Zip,All Boroughs,Bronx,Brooklyn,Manhattan,Queens,Staten Island,All Categories,Commercial,Documentary,Film,Music Video,Red Carpet/Premiere,Still Photography,Student,Television,Theater,WEB,All Permit Types,DCAS Prep/Shoot/Wrap Permit,Rigging Permit,Shooting Permit,Theater Load in and Load Outs
,18,,,10,8,,18,6,,,,,4,,8,,,18,,,18,
0,1,,,1,,,1,,,,,,,,1,,,1,,,1,
83,34,,,34,,,34,2,,10,1,,6,,15,,,34,,,34,
10000,4,,,4,,,4,1,,1,,,1,,1,,,4,,,4,
10001,"1,800",1,15,"1,778",5,1,"1,800",140,3,130,5,1,107,1,497,817,99,"1,800",,2,980,818
10002,972,5,58,900,9,,972,148,10,191,7,,141,3,393,9,70,972,5,5,954,8
10003,"1,469",4,21,"1,437",7,,"1,469",146,9,202,6,,96,111,601,236,62,"1,469",,116,"1,121",232
10004,298,1,12,283,2,,298,31,1,50,2,,35,1,143,1,34,298,,10,287,1
10005,317,,6,310,1,,317,32,,62,1,,22,,190,,10,317,,14,303,
10006,90,,,90,,,90,8,1,27,,,4,,46,1,3,90,,1,88,1
10007,550,1,9,538,2,,550,31,,55,1,,29,,415,2,17,550,193,1,354,2
10009,285,,5,277,3,,285,20,,64,2,,19,1,168,1,10,285,,3,281,1
10010,629,2,8,613,5,1,629,92,1,83,1,,42,3,327,19,61,629,,5,605,19
10011,"1,495",4,19,"1,467",4,1,"1,495",152,6,175,3,,169,1,856,56,77,"1,495",,9,"1,432",54
10012,"1,091",2,25,"1,058",5,1,"1,091",151,7,192,5,,174,2,455,2,103,"1,091",,11,"1,078",2
10013,"1,568",6,43,"1,508",10,1,"1,568",185,9,223,8,,225,4,762,73,79,"1,568",162,22,"1,312",72
10014,950,1,17,925,7,,950,162,6,123,2,,155,2,366,4,130,950,,12,931,7
10016,511,,11,491,8,1,511,55,5,100,3,,33,,292,3,20,511,,3,501,7
10017,580,,14,553,13,,580,70,4,82,3,,42,,349,6,24,580,,,570,10
10018,630,2,9,615,4,,630,108,3,89,8,,56,1,275,28,62,630,,5,605,20
10019,"1,941",5,15,"1,915",5,1,"1,941",133,3,169,3,,72,,675,828,58,"1,941",,14,"1,116",811
10020,369,2,4,362,1,,369,32,,30,1,,13,,191,97,5,369,,3,263,103
10021,393,,1,390,2,,393,25,6,59,1,,64,1,217,1,19,393,,4,388,1
10022,692,4,13,653,22,,692,69,3,126,3,,65,,379,12,35,692,,6,673,13
10023,"1,284",1,11,"1,267",5,,"1,284",60,2,112,3,,63,,397,617,30,"1,284",,4,655,625
10024,355,2,3,348,1,1,355,30,3,82,1,,21,,206,5,7,355,,,349,6
10025,298,2,2,292,2,,298,14,2,44,,,23,,204,,11,298,,4,294,
10026,222,2,2,218,,,222,13,1,36,,,10,,152,,10,222,,2,220,
