Level_Type,Area_Type,Area_Name,Borough,Month,Median_Rent
Aggregation,city,All NYC,All City,2010-01,2650
Aggregation,city,All NYC,All City,2010-02,2600
Aggregation,city,All NYC,All City,2010-03,2600
Aggregation,city,All NYC,All City,2010-04,2650
Aggregation,city,All NYC,All City,2010-05,2695
Aggregation,city,All NYC,All City,2010-06,2700
Aggregation,city,All NYC,All City,2010-07,2750
Aggregation,city,All NYC,All City,2010-08,2750
Aggregation,city,All NYC,All City,2010-09,2825
Aggregation,city,All NYC,All City,2010-10,2825
Aggregation,city,All NYC,All City,2010-11,2800
Aggregation,city,All NYC,All City,2010-12,2750
Aggregation,city,All NYC,All City,2011-01,2750
Aggregation,city,All NYC,All City,2011-02,2745
Aggregation,city,All NYC,All City,2011-03,2750
Aggregation,city,All NYC,All City,2011-04,2795
Aggregation,city,All NYC,All City,2011-05,2800
Aggregation,city,All NYC,All City,2011-06,2895
Aggregation,city,All NYC,All City,2011-07,2900
Aggregation,city,All NYC,All City,2011-08,2950
Aggregation,city,All NYC,All City,2011-09,3000
Aggregation,city,All NYC,All City,2011-10,3000
Aggregation,city,All NYC,All City,2011-11,3000
Aggregation,city,All NYC,All City,2011-12,2995
Aggregation,city,All NYC,All City,2012-01,2960
Aggregation,city,All NYC,All City,2012-02,2925
Aggregation,city,All NYC,All City,2012-03,2950
Aggregation,city,All NYC,All City,2012-04,2995
Aggregation,city,All NYC,All City,2012-05,2995
Aggregation,city,All NYC,All City,2012-06,2995
Aggregation,city,All NYC,All City,2012-07,2995
Aggregation,city,All NYC,All City,2012-08,3000
Aggregation,city,All NYC,All City,2012-09,3050
Aggregation,city,All NYC,All City,2012-10,3000
Aggregation,city,All NYC,All City,2012-11,3000
Aggregation,city,All NYC,All City,2012-12,3000
Aggregation,city,All NYC,All City,2013-01,2995
Aggregation,city,All NYC,All City,2013-02,3000
Aggregation,city,All NYC,All City,2013-03,3000
Aggregation,city,All NYC,All City,2013-04,2995
Aggregation,city,All NYC,All City,2013-05,2995
Aggregation,city,All NYC,All City,2013-06,2995
Aggregation,city,All NYC,All City,2013-07,2995
Aggregation,city,All NYC,All City,2013-08,3000
Aggregation,city,All NYC,All City,2013-09,3000
Aggregation,city,All NYC,All City,2013-10,2995
Aggregation,city,All NYC,All City,2013-11,2950
Aggregation,city,All NYC,All City,2013-12,2935
Aggregation,city,All NYC,All City,2014-01,2900
Aggregation,city,All NYC,All City,2014-02,2900
Aggregation,city,All NYC,All City,2014-03,2900
Aggregation,city,All NYC,All City,2014-04,2950
Aggregation,city,All NYC,All City,2014-05,2950
Aggregation,city,All NYC,All City,2014-06,2917
Aggregation,city,All NYC,All City,2014-07,2890
Aggregation,city,All NYC,All City,2014-08,2890
Aggregation,city,All NYC,All City,2014-09,2850
Aggregation,city,All NYC,All City,2014-10,2825
Aggregation,city,All NYC,All City,2014-11,2800
Aggregation,city,All NYC,All City,2014-12,2800
Aggregation,city,All NYC,All City,2015-01,2800
Aggregation,city,All NYC,All City,2015-02,2800
Aggregation,city,All NYC,All City,2015-03,2800
Aggregation,city,All NYC,All City,2015-04,2850
Aggregation,city,All NYC,All City,2015-05,2851
Aggregation,city,All NYC,All City,2015-06,2899
Aggregation,city,All NYC,All City,2015-07,2900
Aggregation,city,All NYC,All City,2015-08,2950
Aggregation,city,All NYC,All City,2015-09,2900
Aggregation,city,All NYC,All City,2015-10,2895
Aggregation,city,All NYC,All City,2015-11,2828
Aggregation,city,All NYC,All City,2015-12,2850
Aggregation,city,All NYC,All City,2016-01,2862
Aggregation,city,All NYC,All City,2016-02,2895
Aggregation,city,All NYC,All City,2016-03,2900
Aggregation,city,All NYC,All City,2016-04,2933
Aggregation,city,All NYC,All City,2016-05,2950
Aggregation,city,All NYC,All City,2016-06,2979
Aggregation,city,All NYC,All City,2016-07,2970
Aggregation,city,All NYC,All City,2016-08,2950
Aggregation,city,All NYC,All City,2016-09,2900
Aggregation,city,All NYC,All City,2016-10,2875
Aggregation,city,All NYC,All City,2016-11,2800
Aggregation,city,All NYC,All City,2016-12,2800
Aggregation,city,All NYC,All City,2017-01,2750
Aggregation,city,All NYC,All City,2017-02,2750
Aggregation,city,All NYC,All City,2017-03,2700
Aggregation,city,All NYC,All City,2017-04,2750
Aggregation,city,All NYC,All City,2017-05,2775
Aggregation,city,All NYC,All City,2017-06,2795
Aggregation,city,All NYC,All City,2017-07,2800
Aggregation,city,All NYC,All City,2017-08,2862
Aggregation,city,All NYC,All City,2017-09,2800
Aggregation,city,All NYC,All City,2017-10,2795
Aggregation,city,All NYC,All City,2017-11,2700
Aggregation,city,All NYC,All City,2017-12,2700
Aggregation,city,All NYC,All City,2018-01,2695
Aggregation,city,All NYC,All City,2018-02,2667
Aggregation,city,All NYC,All City,2018-03,2699
Aggregation,city,All NYC,All City,2018-04,2750
Aggregation,city,All NYC,All City,2018-05,2795
Aggregation,city,All NYC,All City,2018-06,2800
Aggregation,city,All NYC,All City,2018-07,2825
Aggregation,city,All NYC,All City,2018-08,2800
Aggregation,city,All NYC,All City,2018-09,2785
Aggregation,city,All NYC,All City,2018-10,2700
Aggregation,city,All NYC,All City,2018-11,2657
Aggregation,city,All NYC,All City,2018-12,2650
Aggregation,city,All NYC,All City,2019-01,2695
Aggregation,city,All NYC,All City,2019-02,2700
Aggregation,city,All NYC,All City,2019-03,2700
Aggregation,city,All NYC,All City,2019-04,2800
Aggregation,city,All NYC,All City,2019-05,2850
Aggregation,city,All NYC,All City,2019-06,2900
Aggregation,city,All NYC,All City,2019-07,2950
Aggregation,city,All NYC,All City,2019-08,2950
Aggregation,city,All NYC,All City,2019-09,2925
Aggregation,city,All NYC,All City,2019-10,2900
Aggregation,city,All NYC,All City,2019-11,2899
Aggregation,city,All NYC,All City,2019-12,2895
Aggregation,city,All NYC,All City,2020-01,2900
Aggregation,city,All NYC,All City,2020-02,2900
Aggregation,city,All NYC,All City,2020-03,2925
Aggregation,city,All NYC,All City,2020-04,2995
Aggregation,city,All NYC,All City,2020-05,2950
Aggregation,city,All NYC,All City,2020-06,2895
Aggregation,city,All NYC,All City,2020-07,2828
Aggregation,city,All NYC,All City,2020-08,2750
Aggregation,city,All NYC,All City,2020-09,2667
Aggregation,borough,All Bronx,Bronx,2010-01,1600
Detail,neighborhood,Baychester,Bronx,2010-01,
Detail,neighborhood,Bedford Park,Bronx,2010-01,
Detail,neighborhood,Belmont,Bronx,2010-01,
Detail,neighborhood,Bronxwood,Bronx,2010-01,
Detail,neighborhood,Castle Hill,Bronx,2010-01,
Detail,neighborhood,City Island,Bronx,2010-01,
Detail,neighborhood,Co-op City,Bronx,2010-01,
Detail,neighborhood,Concourse,Bronx,2010-01,
Detail,neighborhood,Country Club,Bronx,2010-01,
Detail,neighborhood,Crotona Park East,Bronx,2010-01,
Detail,neighborhood,East Tremont,Bronx,2010-01,
Detail,neighborhood,Eastchester,Bronx,2010-01,
Detail,neighborhood,Edenwald,Bronx,2010-01,
Detail,neighborhood,Fordham,Bronx,2010-01,
Detail,neighborhood,Highbridge,Bronx,2010-01,
Detail,neighborhood,Hunts Point,Bronx,2010-01,
Detail,neighborhood,Kingsbridge,Bronx,2010-01,1184
Detail,neighborhood,Laconia,Bronx,2010-01,
Detail,neighborhood,Longwood,Bronx,2010-01,
Detail,neighborhood,Melrose,Bronx,2010-01,
Detail,neighborhood,Morris Heights,Bronx,2010-01,
Detail,neighborhood,Morris Park,Bronx,2010-01,
Detail,neighborhood,Morrisania,Bronx,2010-01,
Detail,neighborhood,Mott Haven,Bronx,2010-01,
Detail,neighborhood,Norwood,Bronx,2010-01,
Detail,neighborhood,Parkchester,Bronx,2010-01,
Detail,neighborhood,Pelham Bay,Bronx,2010-01,
Detail,neighborhood,Pelham Gardens,Bronx,2010-01,
Detail,neighborhood,Pelham Parkway,Bronx,2010-01,
Detail,neighborhood,Port Morris,Bronx,2010-01,
Detail,neighborhood,Riverdale,Bronx,2010-01,1800
Detail,neighborhood,Schuylerville,Bronx,2010-01,
Detail,neighborhood,Soundview,Bronx,2010-01,
Detail,neighborhood,Throgs Neck,Bronx,2010-01,
Detail,neighborhood,Tremont,Bronx,2010-01,
Detail,neighborhood,University Heights,Bronx,2010-01,1100
Detail,neighborhood,Van Nest,Bronx,2010-01,
Detail,neighborhood,Wakefield,Bronx,2010-01,
Detail,neighborhood,Westchester Village,Bronx,2010-01,
Detail,neighborhood,Williamsbridge,Bronx,2010-01,
Detail,neighborhood,Woodlawn,Bronx,2010-01,
Detail,neighborhood,Woodstock,Bronx,2010-01,
Aggregation,borough,All Bronx,Bronx,2010-02,1600
Detail,neighborhood,Baychester,Bronx,2010-02,
Detail,neighborhood,Bedford Park,Bronx,2010-02,
Detail,neighborhood,Belmont,Bronx,2010-02,
Detail,neighborhood,Bronxwood,Bronx,2010-02,
Detail,neighborhood,Castle Hill,Bronx,2010-02,
Detail,neighborhood,City Island,Bronx,2010-02,
Detail,neighborhood,Co-op City,Bronx,2010-02,
Detail,neighborhood,Concourse,Bronx,2010-02,
Detail,neighborhood,Country Club,Bronx,2010-02,
Detail,neighborhood,Crotona Park East,Bronx,2010-02,
Detail,neighborhood,East Tremont,Bronx,2010-02,
Detail,neighborhood,Eastchester,Bronx,2010-02,
Detail,neighborhood,Edenwald,Bronx,2010-02,
Detail,neighborhood,Fordham,Bronx,2010-02,
Detail,neighborhood,Highbridge,Bronx,2010-02,
Detail,neighborhood,Hunts Point,Bronx,2010-02,
Detail,neighborhood,Kingsbridge,Bronx,2010-02,1193
Detail,neighborhood,Laconia,Bronx,2010-02,
Detail,neighborhood,Longwood,Bronx,2010-02,
Detail,neighborhood,Melrose,Bronx,2010-02,
Detail,neighborhood,Morris Heights,Bronx,2010-02,
Detail,neighborhood,Morris Park,Bronx,2010-02,
Detail,neighborhood,Morrisania,Bronx,2010-02,
Detail,neighborhood,Mott Haven,Bronx,2010-02,
Detail,neighborhood,Norwood,Bronx,2010-02,
Detail,neighborhood,Parkchester,Bronx,2010-02,
Detail,neighborhood,Pelham Bay,Bronx,2010-02,
Detail,neighborhood,Pelham Gardens,Bronx,2010-02,
Detail,neighborhood,Pelham Parkway,Bronx,2010-02,
